Kortkode;Varkode2_kopi
LM-KA;KA
LM-EH;EH
LM-HR;HR
KM-HS;HS
SA-AD;AD
RM-NH;NH
RM-PI;PI
RM-BA;BA
RM-BP;BP
RM-FF;FF
RM-IP;IP
RM-KY;KY
RM-MS;MS
RM-SE;SE
RM-SO;SO
RM-VP;VP
RM-YK;YK
LM-BK;BK
LM-DK;DK
LM-FK;FK
LM-HV;HV
LM-HY;HY
LM-IS;IS
LM-IT;IT
LM-KT;KT
LM-LT;LT
LM-OV;OV
LM-PF;PF
LM-SN;SN
LM-SO;SO
LM-ST;ST
LM-VT;VT
LM-ED;ED
LM-EF;EF
LM-EL;EL
LM-EP;EP
LM-ES;ES
LM-ET;ET
LM-AN;AN
LM-BU;BU
LM-DA;DA
LM-DL;DL
LM-FI;FI
LM-FT;FT
LM-FU;FU
LM-GS;GS
LM-HF;HF
LM-HU;HU
LM-IB;IB
LM-IF;IF
LM-JF;JF
LM-JV;JV
LM-KI;KI
LM-MF;MF
LM-NB;NB
LM-NE;NE
LM-NG;NG
LM-NT;NT
LM-OF;OF
LM-OM;OM
LM-OR;OR
LM-RU;RU
LM-SA;SA
LM-SE;SE
LM-SF;SF
LM-SM;SM
LM-SS;SS
LM-SU;SU
LM-SV;SV
LM-TF;TF
LM-TH;TH
LM-TO;TO
LM-TU;TU
LM-TV;TV
LM-UE;UE
LM-UF;UF
LM-VF;VF
LM-VI;VI
LM-VM;VM
LM-VS;VS
LM-EB;EB
LM-EC;EC
LM-EI;EI
LM-EU;EU
LM-FV;FV
LM-HE;HE
LM-SI;SI
LM-VA;VA
LM-DW;DW
LM-DT;DT
KM-NF;NF
KM-BA;BA
TF-TP;TP
TF-RA;RA
TF-RD;RD
TF-RK;RK
RS-EO;EO
RS-US;US
MD-BD;BD
MD-FR;FR
MD-MB;MB
MD-SR;SR
MD-LH;LH
RM-AI;AI
RM-JP;JP
LM-BM;BM
LM-HR;HR
LM-MK;MK
LM-MS;MS
LM-MT;MT
LM-MV;MV
LM-MY;MY
LM-KP;KP
LM-KR;KR
LM-HA;HA
LM-HG;HG
LM-HH;HH
LM-HM;HM
LM-HT;HT
KM-FY;FY
KM-MG;MG
KM-AJ;AJ
KM-AS;AS
KM-HG;HG
KM-HI;HI
KM-HY;HY
KM-SF;SF
KM-UM;UM
KM-KP;KP
KM-KR;KR
KM-OB;OB
KM-AG;AG
KM-AH;AH
KM-AY;AY
KM-BT;BT
KM-DA;DA
KM-DV;DV
SA-FS;FS
SA-VE;VE
AD-UT;UT
AD-VD;VD
AD-ØD;ØD
AD-TP;TP
AD-IE;IE
AD-KU;KU
AD-ST;ST
AD-TE;TE
VS-SS;SS
VS-SS_W;SS
