Hovedtype;Prosedyrekategori;Hovedtypegruppe;Hovedtypenavn;Kode
01;A;F;lagdelte, fullsirkulerende, naturlig fisketomme innsjø-vannmassesystemer;F-A-01
02;A;F;ikke lagdelte, fullsirkulerende, naturlig fisketomme innsjø-vannmassesystemer;F-A-02
01;B;F;lagdelte, fullsirkulerende innsjø-vannmassesystemer;F-B-01
02;B;F;ikke lagdelte innsjø-vannmassesystemer;F-B-02
03;B;F;elvevannmassesystemer;F-B-03
01;C;F;bresjø-vannmassesystemer;F-C-01
02;C;F;grottesjø-vannmassesystemer;F-C-02
03;C;F;limniske vannmassesystemer preget av naturlig gjødsling;F-C-03
04;C;F;innsjø-vannmassesystemer preget av oksygenmangel;F-C-04
05;C;F;limniske vannmassesystemer på isoverflate;F-C-05
01;M;F;nye innsjø-vannmassesystemer;F-M-01
02;M;F;innsjø-vannmassesystemer preget av kronisk fysikalsk-kjemisk påvirkning;F-M-02
03;M;F;innsjø-vannmassesystemer preget av introduksjon eller bortfall av strukturerende organismer;F-M-03
04;M;F;elvevannmassesystemer preget av kronisk fysikalsk-kjemisk påvirkning;F-M-04
05;M;F;elvevannmassesystemer preget av introduksjon eller bortfall av strukturerende organismer;F-M-05
01;0;FS;hardbunn i ferskvann;FS-0-01
02;0;FS;bløtbunn i ferskvann;FS-0-02
03;0;FS;levende ferskvannsplanter;FS-0-03
04;0;FS;levende ferskvannsdyr;FS-0-04
05;0;FS;dødt organisk materiale i ferskvann;FS-0-05
06;0;FS;syntetiske livsmedier i ferskvann;FS-0-06
01;0;I;innlandsås- og fjellandskap;I-0-01
02;0;I;innlandsdallandskap;I-0-02
03;0;I;innlandsslettelandskap;I-0-03
01;A;I;snø og isflater;I-A-01
01;0;K;kystås- og kystfjellandskap;K-0-01
02;0;K;fjordlandskap;K-0-02
03;0;K;kystslettelandskap;K-0-03
01;A;L;eufotisk fast innsjøbunn;L-A-01
02;A;L;eufotisk innsjø-sedimentbunn;L-A-02
03;A;L;afotisk innsjøbunn;L-A-03
01;B;L;helofytt-ferskvannssump;L-B-01
02;B;L;innsjø-undervannseng;L-B-02
01;C;L;myrtorv-innsjøbunn;L-C-01
02;C;L;dy- og gytjebunn i innsjø;L-C-02
03;C;L;innsjøbunn som består av grovt organisk materiale;L-C-03
04;C;L;innsjøbunn preget av oksygenmangel;L-C-04
05;C;L;innsjø-isbunn;L-C-05
06;C;L;innsjø-sedimentbunn betinget av naturlig gjødsling;L-C-06
01;G;L;ny innsjøbunn;L-G-01
01;J;L;klart endret innsjøbunn preget av næringsstoff-overbelastning;L-J-01
01;M;L;ny sterkt endret innsjøbunn;L-M-01
02;M;L;ny innsjøbunn med opphav i elvebunn;L-M-02
03;M;L;ny innsjøbunn med opphav i våtmarkssystemer;L-M-03
04;M;L;innsjøbunn preget av kronisk fysisk forstyrrelse;L-M-04
05;M;L;innsjøbunn preget av kronisk fysiskalsk-kjemisk påvirkning;L-M-05
01;A;M;fast saltvanns-fjærebeltebunn;M-A-01
02;A;M;eufotisk fast saltvannsbunn;M-A-02
03;A;M;afotisk fast saltvannsbunn;M-A-03
04;A;M;fjærebelte-sedimentbunn;M-A-04
05;A;M;eufotisk saltvanns-sedimentbunn;M-A-05
06;A;M;afotisk saltvanns-sedimentbunn;M-A-06
01;B;M;marin helofyttsump;M-B-01
02;B;M;saltvanns-undervannseng;M-B-02
03;B;M;korallrev;M-B-03
01;C;M;fast brakkvanns-fjærebeltebunn;M-C-01
02;C;M;fast brakkvannsbunn;M-C-02
03;C;M;littoralbassengbunn;M-C-03
04;C;M;brakkvanns-sedimentbunn;M-C-04
05;C;M;marine grotter og overheng;M-C-05
06;C;M;kald havkilde;M-C-06
07;C;M;varm havkilde;M-C-07
08;C;M;marint bunnsystem preget av oksygenmangel;M-C-08
09;C;M;havisbunn;M-C-09
10;C;M;havis-underside;M-C-10
01;F;M;brakkvanns-undervannseng;M-F-01
01;J;M;taretrålingsbunn;M-J-01
01;M;M;sterkt endret eller ny marin bunn;M-M-01
02;M;M;sterkt endret marin bunn preget av kronisk kjemisk påvirkning;M-M-02
01;0;MS;hardbunn i marine systemer;MS-0-01
02;0;MS;bløtbunn i marine systemer;MS-0-02
03;0;MS;biogene karbonatsubstrater fra døde organismer i marine systemer;MS-0-03
